"","location","lon","lat","API"
"1","Alor.Gajah , Malaysia",102.2115611,2.382211,59
"2","Alor.Setar , Malaysia",100.3671695,6.1263074,49
"3","Balik.Pulau , Malaysia",100.2349501,5.350316,57
"4","Balok.Baru.Kuantan , Malaysia",103.3680251,3.9403458,58
"5","Bandaraya.Melaka , Malaysia",102.2500868,2.189594,58
"6","Banting , Malaysia",101.5025551,2.812098,65
"7","Batu.Muda , Malaysia",101.5475409,2.7023274,64
"8","Batu.Pahat , Malaysia",102.9288341,1.849442,56
"9","Besut , Malaysia",102.5635028,5.7952741,48
"10","Bintulu , Malaysia",113.0428485,3.1738542,54
"11","Bukit.Rambai , Malaysia",102.1890042,2.2530034,61
"12","Cheras , Malaysia",101.7259197,3.1068447,65
"13","Indera.Mahkota.Kuantan , Malaysia",103.296973,3.820763,51
"14","Jerantut , Malaysia",102.3620378,3.937395,49
"15","Kangar , Malaysia",100.1983709,6.440633,47
"16","Kapit , Malaysia",112.933085,1.995115,38
"17","Kemaman , Malaysia",103.4253518,4.231592,54
"18","Keningau , Malaysia",116.1566801,5.3374039,45
"19","Kimanis , Malaysia",115.889297,5.616553,39
"20","Klang , Malaysia",101.44471,3.0448516,68
"21","Kluang , Malaysia",103.3356272,2.0681262,53
"22","Kota.Bharu , Malaysia",102.2379201,6.1251424,55
"23","Kota.Kinabalu , Malaysia",116.0734568,5.980408,45
"24","Kota.Tinggi , Malaysia",103.899227,1.729375,46
"25","Kuala.Selangor , Malaysia",101.249762,3.340184,59
"26","Kuala.Terengganu , Malaysia",103.1412157,5.3283231,54
"27","Kuching , Malaysia",110.359503,1.5533785,53
"28","Kulim , Malaysia",100.5553372,5.371742,52
"29","Labuan , Malaysia",115.230825,5.2831456,45
"31","Larkin , Malaysia",103.7347091,1.4915057,60
"32","Limbang , Malaysia",115.0081459,4.755032,38
"33","Minden , Malaysia",101.975766,4.210484,56
"34","Miri , Malaysia",113.9913832,4.399493,55
"35","Muar , Malaysia",102.5848717,2.0630519,NA
"36","Mukah , Malaysia",112.0921699,2.8920883,41
"37","Nilai , Malaysia",101.7988711,2.802455,65
"38","Paka , Malaysia",103.4399588,4.626581,47
"39","Pasir.Gudang , Malaysia",103.9029689,1.470288,56
"40","Pegoh.Ipoh , Malaysia",101.0854776,4.5552418,59
"41","Pengerang , Malaysia",104.1111109,1.3647023,49
"42","Petaling.Jaya , Malaysia",101.5944885,3.1278871,66
"43","Port.Dickson , Malaysia",101.7962932,2.52254,59
"44","Putrajaya , Malaysia",101.696445,2.926361,66
"45","Rompin , Malaysia",103.4862113,2.7944593,59
"46","Samalaju , Malaysia",113.3191372,3.5626887,49
"47","Samarahan , Malaysia",110.488266,1.459921,43
"48","Sandakan , Malaysia",118.1171729,5.839444,42
"49","Sarikei , Malaysia",111.5237279,2.131703,46
"50","Seberang.Jaya , Malaysia",100.3989242,5.3818942,58
"51","Seberang.Perai , Malaysia",100.4139476,5.3700335,55
"52","Segamat , Malaysia",102.8207542,2.50346,58
"53","Seremban , Malaysia",101.9378239,2.725889,57
"54","Seri.Manjung , Malaysia",100.664788,4.195868,57
"55","Shah.Alam , Malaysia",101.518461,3.073281,68
"56","Sibu , Malaysia",111.8312675,2.2883267,53
"57","Sri.Aman , Malaysia",111.462079,1.237031,52
"58","Sungai.Petani , Malaysia",100.4894179,5.643589,55
"59","Taiping , Malaysia",100.7416339,4.851932,55
"60","Tanah.Merah , Malaysia",102.1470772,5.808887,54
"61","Tangkak , Malaysia",102.5419882,2.271093,60
"62","Tanjung.Malim , Malaysia",101.52027,3.679539,44
"63","Tasek.Ipoh , Malaysia",101.1202978,4.6528554,59
"64","Tawau , Malaysia",117.8911861,4.244651,35
"65","Temerloh , Malaysia",102.4163482,3.448649,58
